S.No,Company Name,Industry,City,State / Country,Email,Phone,Website,Address,Rating,Reviews
1,"LoadUp Junk Removal","Nonprofit Organizations","San Antonio","TX","","+18442397711","goloadup.com","85 NE Interstate 410 Loop #404, San Antonio, TX 78216, United States","4.9","285"
2,"Mdi, Inc.","Computers & Electronics","San Antonio","TX","cbaker@mdisecure.com","+12104775400","www.mdisecure.com","10226 San Pedro Ave",,
3,"Norman Seeman And Co","Energy & Utilities","San Antonio","TX","bnatera@aztecenergy.com","+12103449494","www.aztecenergy.com","40 NE Loop 410 Ste 620",,
4,"First Baptist Church of Universal City","Non-Profit","Universal City","TX","jkent@fbcuc.org","+12106586394","www.fbcuc.org","1401 Pat Booker Rd",,
5,"Stop the Cycle Education","Nonprofit Organizations","San Antonio","TX","","+12102685211","stopthecycleeducation.com","3014 Rivas St, San Antonio, TX 78228, United States","5.0","23"
6,"Furniture Mart","Furniture stores","San Antonio","TX","","+12103333180","furnituremartsa.com","323 S WW White Rd, San Antonio, TX 78219, United States","4.3","77"
7,"Warehouse Furniture","Furniture stores","San Antonio","TX","","+12109234900","warehousefurnituresouth.com","2027 Pleasanton Rd, San Antonio, TX 78221, United States","4.0","84"
8,"Soluto","Computers & Electronics","San Antonio","TX","cgorski@soluto.com","+18553001249","www.soluto.com","4703 Center Park Blvd",,
9,"Tradestone Software Inc.","Software & Internet","Gloucester","MA","ajanecek@tradestonesoftware.com","+19782813723","www.tradestonesoftware.com","17 Rogers St",,
10,"Rackspace Technology","It Services And It Consulting,Information Technology & Services,Professional Services,Information Technology And Services,Managed Security,Multi-Cloud,It As A Service,Managed Hosting,Managed Aws/Azure/Google Cloud Platform/Openstack/Alibaba,Managed Private Cloud For Vmware/Microsoft/Openstack,Compliance Solutions,Database Administration,Enterprise Application Management,Managed Oracle And Sap,Managed Magento/Hybris/Sitecore/Oracle Atg/Adobe Experience Manager","San Antonio","TX","aabraha@rackspace.com","+12103124000","http://www.rackspace.com",,,
11,"Gil's Custom Upholstery","Furniture stores","San Antonio","TX","","+12102222972","-","3406 E Commerce St, San Antonio, TX 78220, United States","4.6","21"
12,"KTSA","Non-Profit","San Antonio","TX","abauer@ktsa.com","+12106545100","www.ktsa.com","4050 Eisenhauer Rd",,
13,"Archdiocese of San Antonio","Non-Profit","San Antonio","TX","abeitel@archsa.org","+12107342620","www.archsa.org","2718 W Woodlawn Ave",,
14,"Mi Casa Furniture","Furniture stores","San Antonio","TX","","+12106822272","micasafurniture.store","6214 Northwest Loop 410, San Antonio, TX 78238, United States","4.3","157"
15,"Advanced Networking & Communications Corp.","Computers & Electronics","Augusta","NJ","ccohen@advancedgroup.net","+19739480400","www.advancedgroup.net","11 Plains Rd",,
16,"Leon Valley Baptist Church","Non-Profit","San Antonio","TX","dturner@lvbc.org","+12106845662","www.lvbc.org","7990 Grissom Rd",,
17,"Employernow","Software & Internet","San Antonio","TX","bdodge@employernow.com","+12106986911","www.employernow.com","25331 W Interstate 10 Ste 203",,
18,"BIF Technologies","Software & Internet","San Antonio","TX","bob.wigley@biftechnologies.com","+12103254130","www.biftechnologies.com","27026 Granite Path",,
19,"SecureTech","IT Consultants","San Antonio","TX","","+12107980889","getsecuretech.com","11220 W Loop 1604 N Building 1, San Antonio, TX 78254, United States","5.0","114"
20,"Texas Leather Furniture and Accessories SA","Furniture stores","San Antonio","TX","cnelson@texasleatherinteriors.com","+12104923300","texasleatherinteriors.com","4323 N Loop 1604 W Access Road, San Antonio, TX 78249, United States","4.8","182"
21,"Impact San Antonio","Nonprofit Organizations","San Antonio","TX","","+12106173280","impactsanantonio.org","24165 IH-10 West, Suite 217-462, San Antonio, TX 78257, United States","0.0","0"
22,"Siyatech Consulting","IT Consultants","San Antonio","TX","","+12108588839","siyatechconsulting.com","3507 Cherokee Cove, San Antonio, TX 78253, United States","0.0","0"
23,"Uniplus Consultants Inc","Computers & Electronics","Manassas","VA","allen.aubrey@uniplus.com","+703365222735","www.uniplus.com","8700 Centreville Rd Ste 300",,
24,"Church of Christ Mac Arthur Pk","Non-Profit","San Antonio","TX","lsmith@macarthurchurch.org","+12108247301","www.macarthurchurch.org","1907 Ne Loop 410",,
25,"Straight Edge Technology, Inc. | IT Support & Services","IT Consultants","San Antonio","TX","","+12109049177","straightedgetech.com","17300 Henderson Pass # 200, San Antonio, TX 78232, United States","5.0","4"
26,"Texas Foundation of Hope","Nonprofit Organizations","San Antonio","TX","","+12102653351","-","2845 Thousand Oaks Dr, San Antonio, TX 78232, United States","4.9","14"
27,"A Place To Heal","Health, Wellness And Fitness","San Antonio","TX","aplacetoheal@sbcglobal.net","+12107254325",,,"5.0","14"
28,"Operation Homefront, Inc.","Nonprofit Organizations","San Antonio","TX","","+12106597756","operationhomefront.org","17319 San Pedro Ave Suite 505, San Antonio, TX 78232, United States","3.7","11"
29,"Photo Telesis","Computers & Electronics","San Antonio","TX","eblack@photot.com","+12103492020","www.photot.com","4801 Nw Loop 410 Ste 203",,
30,"Conquest Systems, Inc.","Software & Internet","Bethesda","MD","bkirker@conquestsystems.com","+12022894240","www.conquestsystems.com","7617 Arlington Rd",,
31,"AAI Computers","Computers & Electronics","San Antonio","TX","balderasj@aaicomputers.com","+12107330213","www.aaicomputers.com","3726 NW Loop 410",,
32,"SA YES","Nonprofit Organizations","San Antonio","TX","","+12102988800","texasyesproject.org","7550 W I-10 Ste 508, San Antonio, TX 78229, United States","0.0","0"
33,"San Antonio Threads","Nonprofit Organizations","San Antonio","TX","","+12106003989","sanantoniothreads.org","10446 Sentinel Dr, San Antonio, TX 78217, United States","4.8","51"
34,"Genesis Networks Inc.","Software & Internet","San Antonio","TX","amills@gns-abilene.com","+13254379108","www.gns-abilene.com","Genesis Networks Inc 14220 Northbrook Dr Ste 500",,
35,"Bridgehead IT","IT Consultants","San Antonio","TX","","+12104777900","bridgeheadit.com","1355 Central Pkwy S #100, San Antonio, TX 78232, United States","4.7","41"
